"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"865";"The Tale of the Princess Kaguya";"2013";"A tiny nymph found inside a bamboo stalk grows into a beautiful and desirable young woman, who orders her suitors to prove their love by completing a series of near-impossible tasks.";"Rian Johnson";"Rian Johnson, Ram Bergman, Jonathan Golfman, Brye Adler";"Rian Johnson";"92";"188.00";"107";"Nippon Herald Films, Studio Ghibli, Dentsu";"Dolby Digital, Dolby A, Dolby SR";"Flat (1.85:1)";"";"Claire Danes, Billy Bob Thornton, Gillian Anderson, Billy Crudup, Minnie Driver, Jada Pinkett Smith, John DiMaggio, Hayao Miyazaki, Neil Gaiman, Hayao Miyazaki, Yasuyoshi Tokuma, Bob Weinstein, Toshio Suzuki, Joe Hisaishi, Atsushi Okui, Hayao Miyazaki, Takeshi Seyama";"1";"8";"2"
"866";"The Taste of Others";"2000";"Castella (Jean-Pierre Bacri) is a successful businessman caught behind the fast-changing times. More out of boredom than out of interest, he allows his wife Anglique (Christiane Millet) to drag him to a performance of Racine's ""BГ©rГ©nice."" Much to his surprise, he is overwhelmed by the power and beauty of the lead actress, Clara (Anne Alvaro). Finally, these two polar opposites are forced together when Castella tries to learn English and his English teacher turns out to be Clara.";"Jordan Peele";"Jordan Peele, Sean McKittrick, Jason Blum, Ian Cooper";"Jordan Peele";"77";"210.50";"109";"Heyday Films, Warner Brothers, 1492 Pictures";"Surround, Dolby SRD, DTS, SDDS";"Scope (2.35:1)";"Harry Potter";"Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman, David Thewlis, Michael Gambon, Alan Rickman, Maggie Smith, Robbie Coltrane, Tom Felton, Alfonso CuarГіn, Chris Columbus, David Heyman, Mark Radcliffe, J.K. Rowling, Steve Kloves, Michael Barnathan, Michael Seresin, Steven Weisberg";"3";"8";"1"
"867";"The Terminator";"1984";"Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill Sarah Connor (Linda Hamilton). Sent to protect Sarah is Kyle Reese (Michael Biehn), who divulges the coming of Skynet, an artificial intelligence system that will spark a nuclear holocaust. Sarah is targeted because Skynet knows that her unborn son will lead the fight against them. With the virtually unstoppable Terminator in hot pursuit, she and Kyle attempt to escape.";"Christopher McQuarrie";"Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams";"Christopher McQuarrie";"79";"315.00";"130";"";"Stereo";"";"";"Hardie Albright, Stan Alexander, Peter Behn, Donnie Dunagan, Ann Gillis, Sterling Holloway, Cammie King, Fred Shields, Bobby Stewart, David Hand, Larry Morey, Walt Disney";"4";"15";"1"
"868";"The Texas Chain Saw Massacre";"1974";"When Sally (Marilyn Burns) hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin (Paul A. Partain), set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface (Gunnar Hansen), who wears a mask of human skin, the survivors must do everything they can to escape.";"Jordan Peele";"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele";"Jordan Peele";"92";"226.30";"137";"Walt Disney Productions, Vineyard Productions, Whitaker Entertainment";"Datasat, Dolby Digital";"Scope (2.35:1)";"";"Bryce Dallas Howard, Oakes Fegley, Wes Bentley, Karl Urban, Oona Laurence, Robert Redford, Isiah Whitlock Jr., Marcus Henderson, Phil Grieve, David Lowery, David Lowery, Toby Halbrooks, James Whitaker, Barrie M. Osborne, Bojan Bazelli, Lisa Zeno Churgin, Daniel Hart, Jade Healy, Malcolm Marmorstein";"3";"13";"1"
"869";"The Thin Man";"1934";"The recently divorced Gilbert discovers that his new girlfriend has stolen $50,000 and is carrying on with other men. Not long afterward, he disappears. Anxious to locate her father, Gilbert's daughter goes to private detective Nick Charles for help.";"Martin Scorsese";"Martin Scorsese, Robert De Niro, Jane Rosenthal, GastГіn Pavlovich, Randall Emmett, Emma Tillinger Koskoff, Gerald Chamales, Irwin Winkler";"Steven Zaillian";"77";"620.20";"152";"";"";"";"";"Mick Lally, Eileen Colgan, John Lynch, Jeni Courtney, Richard Sheridan, Cillian Byrne, Pat Slowey, Dave Duffy, Declan Hannigan, Fergal McElherron, John Sayles, John Sayles, Peter Newman, Maggie Renzi, John Sloss, Haskell Wexler, John Sayles, John Hubbard, Ros Hubbard";"3";"13";"1"
"870";"The Third Man";"1949";"Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime (Orson Welles), only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Maj. Calloway (Trevor Howard) and falling head-over-heels for Harry's grief-stricken lover, Anna (Alida Valli).";"Alfred Hitchcock";"David O. Selznick";"Robert E. Sherwood, Joan Harrison";"79";"700.20";"134";"Apaches Entertainment, La Trini, Telecinco Cinema";"";"";"";"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Jennifer Lim, Geraldine Chaplin, J.A. Bayona, Patrick Ness, Patrick Ness, Jeff Skoll, Bill Pohlad, Jonathan King, Mitch Horwits, Patrick Wachsberger";"1";"11";"1"
"871";"The Three Burials of Melquiades Estrada";"2005";"When brash Texas border officer Mike Norton (Barry Pepper) wrongfully kills and buries the friend and ranch hand of Pete Perkins (Tommy Lee Jones), the latter is reminded of a promise he made to bury his friend, Melquiades Estrada (Julio Cesar Cedillo), in his Mexican home town. He kidnaps Norton and exhumes Estrada's corpse, and the odd caravan sets out on horseback for Mexico. As Estrada's body begins to rot, Norton begins to unravel, but Perkins remains determined to honor his vow.";"John Krasinski";"Michael Bay, Andrew Form, Brad Fuller";"Bryan Woods, Scott Beck, John Krasinski";"92";"858.40";"181";"Aardman Animations, Sony Pictures Animation";"SDDS, Dolby Digital";"";"";"James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Marc Wootton, Laura Linney, Eva Longoria, Ramona Marquez, Peter Baynham, Peter Lord, David Sproxton, Carla Shelley, Steve Pegram, John Carnochan, Harry Gregson-Williams";"3";"13";"1"
"872";"The Town";"2010";"Doug MacRay (Ben Affleck) leads a band of ruthless bank robbers and has no real attachments except for James (Jeremy Renner), who -- despite his dangerous temper -- is like a brother. Everything changes for Doug when James briefly takes a hostage, bank employee Claire Keesey. Learning that she lives in the gang's neighborhood, Doug seeks her out to discover what she knows, and he falls in love. As the romance deepens, he wants out of his criminal life, but that could threaten Claire.";"Robert Wiene";"Rudolf Meinert, Erich Pommer";"Hans Janowitz, Carl Mayer";"77";"220.10";"147";"DreamWorks SKG, Pacific Data Images (PDI)";"Surround, Dolby SR, Dolby Digital, DTS, SDDS";"Flat (1.85:1)";"";"Woody Allen, Sharon Stone, Gene Hackman, Sylvester Stallone, Christopher Walken, Danny Glover, Dan Aykroyd, Jane Curtin, Anne Bancroft, Jennifer Lopez, Eric Darnell, Chris Weitz, Paul Weitz, Penney Finkelman Cox, Brad Lewis, Sandra Rabins, Carl Rosendahl, Steven Spielberg";"3";"8";"1"
"873";"The Treasure of the Sierra Madre";"1948";"In this classic adventure film, two rough-and-tumble wanderers, Dobbs (Humphrey Bogart) and Curtin (Tim Holt), meet up with a veteran prospector, Howard (Walter Huston), in Mexico and head into the Sierra Madre mountains to find gold. Although they discover treasure, they also find plenty of trouble, not only from ruthless bandits lurking in the dangerous Mexican wilderness but from their own insecurities and greed, which threaten to bring conflict at any moment.";"Tom McCarthy";"Michael Sugar, Steve Golin, Nicole Rocklin, Blye Pagon Faust";"Josh Singer, Tom McCarthy";"79";"153.60";"120";"Dimension Films, Troublemaker Studios";"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby EX, Dolby Digital";"Flat (1.85:1)";"";"Antonio Banderas, Carla Gugino, Alexa Vega, Daryl Sabara, Alan Cumming, Tony Shalhoub, Teri Hatcher, Cheech Marin, Robert Patrick, Danny Trejo, Robert Rodriguez, Robert Rodriguez, Elizabeth Avellan, Cary Granat, Robert Rodriguez, Bill Scott, Bob Weinstein, Harvey Weinstein, Guillermo Navarro, Robert Rodriguez";"3";"13";"1"
"874";"The Trial of the Chicago 7";"2020";"In 1969, seven people were charged by the federal government with conspiracy and more, arising from the protests at the 1968 Democratic National Convention in Chicago.";"Carol Reed";"Alexander Korda, Carol Reed, David O. Selznick";"Graham Greene";"92";"190.20";"117";"MK2 Productions";"";"";"";"Juliette Binoche, Charles Berling, JГ©rГ©mie Renier, Г‰dith Scob, Dominique Reymond, Kyle Eastwood, Alice De Lencquesaing, Eric Elmosnino, Olivier Assayas, Olivier Assayas";"6";"11";"6"
"875";"The Triplets of Belleville";"2003";"This animated film follows elderly Frenchwoman Madame Souza as she becomes involved in international intrigue when her grandson, Champion, a professional cyclist, is kidnapped and taken abroad. Joined by her faithful dog, Bruno, Souza embarks on a journey to find Champion, and stumbles across unlikely allies in the form of three sisters who are veterans of the vaudeville stage. Tracking down Champion's criminal captors, the quartet of old women use their wits to try and win the day.";"Denis Villeneuve";"Shawn Levy, Dan Levine, Aaron Ryder, David Linde";"Eric Heisserer";"77";"412.80";"141";"1492 Pictures, Warner Bros., Heyday Films";"Surround, Dolby SRD, DTS, SDDS";"Scope (2.35:1)";"Harry Potter";"Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Ralph Fiennes, Michael Gambon, Brendan Gleeson, Jason Isaacs, Gary Oldman, Miranda Richardson, Mike Newell, David Heyman, Steve Kloves, J.K. Rowling, David Barron, Chris Columbus, Peter MacDonald, Mark Radcliffe, Tanya Seghatchian, Patrick Doyle";"1";"8";"1"
"876";"The Truman Show";"1998";"He doesn't know it, but everything in Truman Burbank's (Jim Carrey) life is part of a massive TV set. Executive producer Christof (Ed Harris) orchestrates ""The Truman Show,"" a live broadcast of Truman's every move captured by hidden cameras. Cristof tries to control Truman's mind, even removing his true love, Sylvia (Natascha McElhone), from the show and replacing her with Meryl (Laura Linney). As Truman gradually discovers the truth, however, he must decide whether to act on it.";"Ben Affleck";"Grant Heslov, Ben Affleck, George Clooney";"Chris Terrio";"79";"188.00";"107";"Working Title Films, Big Talk Pictures";"";"Scope (2.35:1)";"";"Louis Ashbourne Serkis, Rebecca Ferguson, Patrick Stewart, Dean Chaumoo, Rhianna Dorris, Angus Imrie, Denise Gough, Joe Cornish, Joe Cornish, Nira Park, Tim Bevan, Eric Fellner, James Biddle, Rachael Prior, Bill Pope, Jonathan Amos";"3";"13";"1"
"877";"The Umbrellas of Cherbourg";"1964";"GeneviГЁve (Catherine Deneuve), a beautiful young Frenchwoman who works at a small-town boutique selling umbrellas, falls for dashing mechanic Guy (Nino Castelnuovo). Their brief romance is interrupted when Guy is drafted to serve in the Algerian War. Though pregnant by Guy, GeneviГЁve marries an older businessman, Roland (Marc Michel), and begins to move on with her life. Throughout the musical film, all the characters' dialogue is conveyed through song.";"Alfred Hitchcock";"Alfred Hitchcock";"Joseph Stefano";"92";"210.50";"109";"Walt Disney Pictures, Pixar Animation Studios";"SDDS, Dolby Digital, DTS, Surround";"";"Pixar";"Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere, Richard Kind, David Hyde Pierce, Joe Ranft, Denis Leary, Jonathan Harris, John Lasseter, Andrew Stanton, John Lasseter, Andrew Stanton, Joe Ranft, Don McEnery, Geefwee Boedoe, Jorgen Klubien";"4";"13";"1"
"878";"The Vanishing";"1988";"Rex (Gene Bervoets) and Saskia (Johanna Ter Steege) are enjoying a biking holiday in France when, stopping at a gas station, Saskia disappears. Confounded, Rex searches everywhere, but to no avail. Three years later, he's still obsessed with finding her, pleading his case on television, putting up posters and ruining his new relationship in the process. Eventually an unassuming chemistry teacher, Raymond (Bernard-Pierre Donnadieu), approaches Rex, intimating that he knows what happened.";"Ridley Scott";"David Giler, Gordon Carroll";"Unknown";"77";"315.00";"130";"Twentieth Century Fox";"Mono";"Flat (1.37:1)";"";"Walter Pidgeon, Maureen O'Hara, Roddy McDowall, Donald Crisp, John Loder, Sara Allgood, Barry Fitzgerald, Patric Knowles, Rhys Williams, Darryl F. Zanuck, Philip Dunne, Alfred Newman, James B. Clark, Nathan Juran";"6";"11";"1"
"879";"The Vast of Night";"2019";"In the 1950s, two kids search for the source of a mysterious frequency that has descended on their town.";"Otto Preminger";"Otto Preminger";"Jay Dratler, Samuel Hoffenstein, Elizabeth Reinhardt";"79";"226.30";"137";"Studio Ghibli, Walt Disney Studios";"Dolby Digital Surround EX, Dolby Digital";"Flat (1.85:1)";"";"Cate Blanchett, Matt Damon, Liam Neeson, Tina Fey, Noah Cyrus, Frankie Jonas, Cloris Leachman, Lily Tomlin, Betty White, Kurt Knutsson, Hayao Miyazaki, John Lasseter, Brad Lewis, Peter Sohn, Toshio Suzuki, Kathleen Kennedy, Frank Marshall, Steve Alpert, John Lasseter, Hayao Miyazaki";"4";"8";"2"
"880";"The Wages of Fear";"1953";"In the South American jungle, supplies of nitroglycerine are needed at a remote oil field. The oil company pays four men to deliver the supplies in two trucks. A tense rivalry develops between the two sets of drivers on the rough remote roads where the slightest jolt can result in death.";"Alfred Hitchcock";"Jack H. Skirball";"Thornton Wilder, Sally Benson, Alma Reville";"92";"620.20";"152";"Atresmedia Cine, The SPA Studios";"";"Flat (1.85:1)";"";"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Sergio Pablos, Norm Macdonald, Joan Cusack, Sergio Pablos, Sergio Pablos, Zach Lewis, Jim Mahoney, Jinko Gotoh, Sergio Pablos, Matthew Teevan, Mercedes Gamero, Mikel Lejarza";"3";"24";"1"
"881";"The War Tapes";"2006";"Filmmaker Deborah Scranton provides three U.S. soldiers with cameras so they can document their experiences during Operation Iraqi Freedom. The soldiers, Sgt. Steve Pink, Sgt. Zack Bazzi and Spc. Mike Moriarty, are all different ages and come from different backgrounds, but all three demonstrate unwavering loyalty to their comrades-in-arms while voicing concerns about America's reasons for its presence in Iraq.";"John Huston";"Unknown";"Dashiell Hammett, John Huston";"77";"700.20";"134";"Warner Bros. Animation, DC Entertainment";"Dolby Atmos, Dolby Digital, DTS, SDDS";"Flat (1.85:1)";"";"Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch, Will Arnett, Kristen Bell, Eric Bauza, Michael Bolton, Nicolas Cage, Peter Rida Michail, Aaron Horvath, Michael Jelenic, Aaron Horvath, Aaron Horvath, Michael Jelenic, Peggy Regan, Peter Rida Michail, Will Arnett, Sam Register";"3";"10";"1"
"882";"The Warrior's Way";"2010";"Refusing to kill an infant from an enemy clan, master swordsman Yang (Jang Dong Gun) takes the child and flees to an American frontier town. He puts away his sword for good, vowing to raise the baby in peace. Yang befriends Lynne, a woman who wants revenge against a colonel, the man who murdered her family. When the colonel returns to wreak havoc on the town, Yang draws his sword to protect his new friends, but the sound of fighting draws Yang's murderous clansmen into the fray as well.";"Leigh Whannell";"Jason Blum, Kylie du Fresne";"Leigh Whannell";"79";"858.40";"181";"Twentieth Century Fox";"Surround";"";"";"Tom Everett Scott, Liv Tyler, Johnathon Schaech, Steve Zahn, Ethan Embry, Tom Hanks, Charlize Theron, Obba Babatunde, Giovanni Ribisi, Chris Ellis, Tom Hanks, Gary Goetzman, Jonathan Demme, Edward Saxon, Tom Hanks";"3";"12";"1"
"883";"The Wicker Man";"1973";"Sergeant Howie (Edward Woodward) arrives on the small Scottish island of Summerisle to investigate the report of a missing child. A conservative Christian, the policeman observes the residents' frivolous sexual displays and strange pagan rituals, particularly the temptations of Willow (Britt Ekland), daughter of the island magistrate, Lord Summerisle (Christopher Lee). The more Sergeant Howie learns about the islanders' strange practices, the closer he gets to tracking down the missing child.";"Francis Ford Coppola";"Francis Ford Coppola";"Francis Ford Coppola";"92";"220.10";"147";"Walt Disney Animation";"Dolby Digital, DTS, SDDS";"";"";"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Nathan Greno, Byron Howard, Dan Fogelman, Roy Conli, John Lasseter, Glen Keane, Alan Menken, Glenn Slater";"3";"17";"1"
"884";"The Wild Bunch";"1969";"In this gritty Western classic, aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang, which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson), Bishop discovers the heist is a setup orchestrated in part by his old partner, Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory, Thornton trails them, resulting in fierce gunfights with plenty of casualties.";"Alfred Hitchcock";"Alfred Hitchcock";"Ernest Lehman";"77";"153.60";"120";"DreamWorks SKG, Pacific Data Images (PDI)";"Surround, Dolby SRD, DTS, SDDS";"Flat (1.85:1)";"";"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas, John Cleese, Rupert Everett, Jennifer Saunders, Larry King, Conrad Vernon, Andrew Adamson, Jeffrey Katzenberg, Aron Warner, William Steig, J. David Stem, Joe Stillman, David N. Weiss, Harry Gregson-Williams";"3";"13";"1"
"885";"The Wild Parrots of Telegraph Hill";"2004";"A homeless musician's life is transformed after he discovers a flock of wild South American parrots living in San Francisco. How they got there is a mystery, but Mark Bittner forms a bond with the exotic birds through his music and his patient, attentive care. Over time he comes to appreciate their individual identities and makes a case for humans to reevaluate their relationship to animals. When he is forced to leave them, he despairs over the birds' fate.";"Fritz Lang";"Seymour Nebenzal";"Egon Jacobson, Fritz Lang";"79";"190.20";"117";"Laika";"Dolby SR, DTS, Dolby SRD";"";"";"Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, John Goodman, Elaine Stritch, Bernard Hill, Chris Butler, Sam Fell, Chris Butler, Arianne Sutner, Travis Knight, Jon Brion, Tristan Oliver, Christopher Murrie, Allison Jones, Nelson Lowry";"3";"12";"1"
"886";"The Wind Rises";"2013";"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.";"Steven Spielberg";"David Brown, Richard D. Zanuck";"Howard Sackler, John Milius, Robert Shaw";"92";"412.80";"141";"Jim Henson Productions, Lorimar Film Entertainment";"Dolby, Surround";"";"";"Anjelica Huston, Mai Zetterling, Jasen Fisher, Rowan Atkinson, Bill Paterson, Brenda Blethyn, Jane Horrocks, Anne Lambton, Sukie Smith, Rose English, Nicolas Roeg, Allan Scott, Roald Dahl, Jim Henson, Mark Shivas, Stanley Myers, Harvey Harrison, Tony Lawson, Celestia Fox";"3";"13";"1"
"887";"The Witch";"2015";"In 1630 New England, panic and despair envelops a farmer, his wife and their children when youngest son Samuel suddenly vanishes. The family blames Thomasin, the oldest daughter who was watching the boy at the time of his disappearance. With suspicion and paranoia mounting, twin siblings Mercy and Jonas suspect Thomasin of witchcraft, testing the clan's faith, loyalty and love to one another.";"David Mackenzie";"Sidney Kimmel, Peter Berg, Carla Hacken, Julie Yorn";"Taylor Sheridan";"77";"188.00";"107";"";"";"";"";"Aran Bell, Rebecca Houseknecht, Joan Sebastian Zamora, Juliet Doherty, Susan Jaffe, Giuseppe Bausilio, Bess Kargman, Rose Caiola, Bess Kargman, Nick Higgins, Kate Amend, Bess Kargman";"6";"22";"1"
"888";"The Witches";"1990";"While staying at a hotel in England with his grandmother, Helga (Mai Zetterling), young Luke (Jasen Fisher) inadvertently spies on a convention of witches. The Grand High Witch (Anjelica Huston) reveals a plan to turn all children into mice through a magical formula. When they find that Luke has overheard, the witches test the formula on him. Now, with the help of Helga and the hotel manager, Mr. Stringer (Rowan Atkinson), Luke the mouse must fight back against the witches.";"Jennifer Kent";"Kristina Ceyton, Kristian Moliere";"Jennifer Kent";"79";"210.50";"109";"Walt Disney Pictures, Skellington Productions";"Surround";"";"";"Paul Terry, Joanna Lumley, Miriam Margolyes, Pete Postlethwaite, Simon Callow, Richard Dreyfuss, Jane Leeves, Susan Sarandon, David Thewlis, J. Stephen Coyle, Henry Selick, Roald Dahl, Karey Kirkpatrick, Jonathan Roberts, Steve Bloom, Jake Eberts, Tim Burton, Denise Di Novi, Randy Newman";"3";"13";"1"
"889";"The Wizard of Oz";"1939";"When a tornado rips through Kansas, Dorothy (Judy Garland) and her dog, Toto, are whisked away in their house to the magical land of Oz. They follow the Yellow Brick Road toward the Emerald City to meet the Wizard, and en route they meet a Scarecrow (Ray Bolger) that needs a brain, a Tin Man (Jack Haley) missing a heart, and a Cowardly Lion (Bert Lahr) who wants courage. The wizard asks the group to bring him the broom of the Wicked Witch of the West (Margaret Hamilton) to earn his help.";"Roman Polanski";"Robert Evans";"Robert Towne, Roman Polanski";"92";"315.00";"130";"Blind Wink, GK Films";"";"";"";"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Timothy Olyphant, Ray Winstone, Gore Verbinski, John Logan, Gore Verbinski, Graham King, John B. Carls, Tim Headington, Mark ""Crash"" McCreery, Craig Wood";"3";"13";"1"
"890";"The Wolf Man";"1941";"When his brother dies, Larry Talbot (Lon Chaney) returns to Wales and reconciles with his father (Claude Rains). While there, he visits an antique shop and, hoping to impress Gwen (Evelyn Ankers), the attractive shopkeeper, buys a silver walking cane. That same night he kills a wolf with it, only to later learn that he actually killed a man (Bela Lugosi). A gypsy (Maria Ouspenskaya) explains that it was her son, a werewolf, that he killed, and that Larry is now one himself.";"Alfred Hitchcock";"Edward Black";"Unknown";"77";"226.30";"137";"DreamWorks SKG, Pacific Data Images (PDI)";"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital";"Scope (2.35:1)";"";"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Cody Cameron, Andrew Adamson, Vicky Jenson, Aron Warner, John H. Williams, Jeffrey Katzenberg, Penney Finkelman Cox, Sandra Rabins, William Steig, Ted Elliott, Terry Rossio";"3";"13";"1"
"891";"The Wrecking Crew";"2008";"The son of guitarist Tommy Tedesco pays tribute to his late father and a core group of studio musicians who played on some of the biggest hits of the 1960s and '70s, including ""California Girls"" and ""Mrs. Robinson.""";"Fred Zinnemann";"Stanley Kramer";"Carl Foreman";"79";"620.20";"152";"David L. Wolper Productions, Quaker Oats Company";"Stereo";"Flat (1.85:1)";"";"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, Julie Dawn Cole, Leonard Stone, Denise Nickerson, Dodo Denney, Paris Themmen, Ursula Reit, Mel Stuart, Roald Dahl, Roald Dahl, Stan Margulies, David L. Wolper, Leslie Bricusse, Anthony Newley, Walter Scharf, David Saxon";"4";"13";"1"
"892";"The Wrestler";"2008";"Aging wrestler Randy ""The Ram"" Robinson (Mickey Rourke) is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper (Marisa Tomei), and tries to reconnect with his estranged daughter (Evan Rachel Wood). But he can't resist the lure of the ring and readies himself for a comeback.";"Alfred Hitchcock";"Michael Balcon, Ivor Montagu";"John Buchan, Charles Bennett, Ian Hay";"92";"700.20";"134";"Element Films, Davis Films";"";"";"";"Peter O'Toole, Samantha Morton, John Lynch, Peter Dinklage, Steve Pemberton, Jemma Redgrave, Jonathan Mason, Hester Odgers, Edward Fox, John Standing, Charles Sturridge, Charles Sturridge, Ed Guiney, Francesca Barra, Charles Sturridge, Eric Ellenbogen, Doug Schwalbe, Howard Atherton";"3";"13";"1"
"893";"The Young Girls of Rochefort";"1967";"Delphine (Catherine Deneuve) and Solange (FranГ§oise DorlГ©ac) are twin sisters who each want to find romance and leave their small seaside town of Rochefort, France. Soon they befriend a couple of visiting carnival workers who frequent their lonely mother's (Danielle Darrieux) cafГ© and hire the girls to sing in the carnival. Wanting a career as a songwriter, Solange falls for an American musician, Andy (Gene Kelly), while Delphine dumps her beau and searches Rochefort for her ideal man.";"David Yates";"David Heyman, David Barron, J.K. Rowling";"Steve Kloves";"77";"858.40";"181";"Walt Disney Pictures";"";"";"";"Jim Cummings, Bud Luckey, Craig Ferguson, Jack Boulter, Travis Oates, Kristen Anderson-Lopez, Wyatt Dean Hall, Tom Kenny, Huell Howser, John Cleese, Stephen J. Anderson, Don Hall, Stephen J. Anderson, Clio Chiang, Don Dougherty, Don Hall, Kendelle Hoyer, Brian Kesinger, Nicole Mitchell, Jeremy Spears";"4";"13";"1"
"894";"Things to Come";"2016";"A passionate middle-aged philosophy professor (Isabelle Huppert) rethinks her already much-examined life after an unforeseen divorce.";"Sam Mendes";"Michael G. Wilson, Barbara Broccoli";"Neal Purvis, Robert Wade, John Logan";"79";"220.10";"147";"Warner Brothers";"";"";"";"Alexander Michaletos, Eamonn Walker, Campbell Scott, Hope Davis, Mary Makhatho, Nthabiseng Kenoshi, Jennifer Steyn, Garth Renecle, Carroll Ballard, Carol Flint, Karen Janszen, Doug Claybourne, Stacy Cohen, E.K. Gaylord II, Vlokkie Gordon, Werner Maritz, Carrie Hilton, Junie Lowry-Johnson";"3";"13";"1"
"895";"This Film Is Not Yet Rated";"2006";"Filmmakers Kimberly Peirce, Wayne Kramer, Michael Tucker and Matt Stone are among those who give commentary in Kirby Dick's examination of the Motion Picture Association of America and the standards and methods its ratings board uses to rate the movies.";"Akira Kurosawa";"Minoru Jingo";"Unknown";"92";"153.60";"120";"Blue Sky Studios, Twentieth Century Fox Animation";"Dolby Atmos";"Flat (1.85:1)";"";"Noah Schnapp, Hadley Belle Miller, Mariel Sheets, Alex Garfin, Francesca Angelucci Capaldi, Venus Omega Schultheis, Rebecca Bloom, Marleik ""Mar Mar"" Walker, Noah Johnston, Madisyn Shipman, Steve Martino, Craig Schulz, Bryan Schulz, Cornelius Uliano, Craig Schulz, Bryan Schulz, Cornelius Uliano, Paul Feig, Michael J. Travers, Renato FalcГЈo";"4";"13";"1"
"896";"This Is Not a Film";"2010";"Iranian filmmaker Jafar Panahi makes a video diary with his phone in response to his government's threats against him.";"W. S. Van Dyke";"Hunt Stromberg";"Unknown";"77";"190.20";"117";"DreamWorks Animation";"";"";"Kung Fu Panda";"Jack Black, Angelina Jolie, Jackie Chan, David Cross, Lucy Liu, Seth Rogen, Dustin Hoffman, Ian McShane, Michael Clarke Duncan, Randall Duk Kim, John Stevenson, Mark Osborne, Jonathan Aibel, Glenn Berger, Melissa Cobb, Bill Damaschke";"3";"13";"1"
"897";"Thor: Ragnarok";"2017";"Imprisoned on the other side of the universe, the mighty Thor finds himself in a deadly gladiatorial contest that pits him against the Hulk, his former ally and fellow Avenger. Thor's quest for survival leads him in a race against time to prevent the all-powerful Hela from destroying his home world and the Asgardian civilization.";"Orson Welles";"Albert Zugsmith";"Paul Monash, Franklin Coen";"79";"412.80";"141";"Columbia Pictures Corporation, Morningside Worldwide S.A.";"Mono";"Flat (1.37:1)";"";"Todd Armstrong, Nancy Kovack, Gary Raymond, Honor Blackman, Laurence Naismith, Niall MacGinnis, Michael Gwynn, Douglas Wilmer, Jack Gwillim, Don Chaffey, Jan Read, Beverley Cross, Ray Harryhausen, Charles H. Schneer, Bernard Herrmann, Wilkie Cooper, Geoffrey Drake, Jack Maxsted, Antonio Sarzi-Braga";"4";"13";"1"
